time,sigma,variable,value,μ
0.0,1.0,Normal,1.0,25.0
0.3003003003003003,1.0,Normal,1.0,25.0
0.6006006006006006,1.0,Normal,1.0,25.0
0.9009009009009009,1.0,Normal,1.0,25.0
1.2012012012012012,1.0,Normal,1.0,25.0
1.5015015015015014,1.0,Normal,1.0,25.0
1.8018018018018018,1.0,Normal,1.0,25.0
2.1021021021021022,1.0,Normal,1.0,25.0
2.4024024024024024,1.0,Normal,1.0,25.0
2.7027027027027026,1.0,Normal,1.0,25.0
3.003003003003003,1.0,Normal,1.0,25.0
3.3033033033033035,1.0,Normal,1.0,25.0
3.6036036036036037,1.0,Normal,1.0,25.0
3.903903903903904,1.0,Normal,1.0,25.0
4.2042042042042045,1.0,Normal,1.0,25.0
4.504504504504505,1.0,Normal,1.0,25.0
4.804804804804805,1.0,Normal,1.0,25.0
5.105105105105105,1.0,Normal,1.0,25.0
5.405405405405405,1.0,Normal,1.0,25.0
5.7057057057057055,1.0,Normal,1.0,25.0
6.006006006006006,1.0,Normal,1.0,25.0
6.306306306306307,1.0,Normal,1.0,25.0
6.606606606606607,1.0,Normal,1.0,25.0
6.906906906906907,1.0,Normal,1.0,25.0
7.207207207207207,1.0,Normal,1.0,25.0
7.5075075075075075,1.0,Normal,1.0,25.0
7.807807807807808,1.0,Normal,1.0,25.0
8.108108108108109,1.0,Normal,1.0,25.0
8.408408408408409,1.0,Normal,1.0,25.0
8.70870870870871,1.0,Normal,1.0,25.0
9.00900900900901,1.0,Normal,1.0,25.0
9.30930930930931,1.0,Normal,1.0,25.0
9.60960960960961,1.0,Normal,1.0,25.0
9.90990990990991,1.0,Normal,1.0,25.0
10.21021021021021,1.0,Normal,1.0,25.0
10.51051051051051,1.0,Normal,1.0,25.0
10.81081081081081,1.0,Normal,1.0,25.0
11.11111111111111,1.0,Normal,1.0,25.0
11.411411411411411,1.0,Normal,1.0,25.0
11.711711711711711,1.0,Normal,1.0,25.0
12.012012012012011,1.0,Normal,1.0,25.0
12.312312312312311,1.0,Normal,1.0,25.0
12.612612612612613,1.0,Normal,1.0,25.0
12.912912912912914,1.0,Normal,1.0,25.0
13.213213213213214,1.0,Normal,1.0,25.0
13.513513513513514,1.0,Normal,1.0,25.0
13.813813813813814,1.0,Normal,1.0,25.0
14.114114114114114,1.0,Normal,1.0,25.0
14.414414414414415,1.0,Normal,1.0,25.0
14.714714714714715,1.0,Normal,1.0,25.0
15.015015015015015,1.0,Normal,1.0,25.0
15.315315315315315,1.0,Normal,1.0,25.0
15.615615615615615,1.0,Normal,1.0,25.0
15.915915915915916,1.0,Normal,1.0,25.0
16.216216216216218,1.0,Normal,1.0,25.0
16.516516516516518,1.0,Normal,1.0,25.0
16.816816816816818,1.0,Normal,1.0,25.0
17.117117117117118,1.0,Normal,1.0,25.0
17.41741741741742,1.0,Normal,1.0,25.0
17.71771771771772,1.0,Normal,1.0,25.0
18.01801801801802,1.0,Normal,1.0,25.0
18.31831831831832,1.0,Normal,1.0,25.0
