exposure_time,amount_toxin,state,experiment
0.0,0.0,Normal,Control
1.0,0.0,Normal,Control
2.0,0.0,Normal,Control
3.0,0.0,Normal,Control
4.0,0.0,Normal,Control
5.0,0.0,Normal,Control
6.0,0.0,Normal,Control
7.0,0.0,Normal,Control
8.0,0.0,Normal,Control
9.0,0.0,Normal,Control
10.0,0.0,Normal,Control
11.0,0.0,Normal,Control
12.0,0.0,Normal,Control
13.0,0.0,Normal,Control
14.0,0.0,Normal,Control
15.0,0.0,Normal,Control
16.0,0.0,Normal,Control
17.0,0.0,Normal,Control
18.0,0.0,Normal,Control
19.0,0.0,Normal,Control
20.0,0.0,Normal,Control
21.0,0.0,Normal,Control
22.0,0.0,Normal,Control
23.0,0.0,Normal,Control
24.0,0.0,Normal,Control
25.0,0.0,Normal,Control
26.0,0.0,Normal,Control
27.0,0.0,Normal,Control
28.0,0.0,Normal,Control
29.0,0.0,Normal,Control
30.0,0.0,Normal,Control
31.0,0.0,Normal,Control
32.0,0.0,Normal,Control
33.0,0.0,Normal,Control
34.0,0.0,Normal,Control
35.0,0.0,Normal,Control
36.0,0.0,Normal,Control
37.0,0.0,Normal,Control
38.0,0.0,Normal,Control
39.0,0.0,Normal,Control
40.0,0.0,Normal,Control
41.0,0.0,Normal,Control
42.0,0.0,Normal,Control
43.0,0.0,Normal,Control
44.0,0.0,Normal,Control
45.0,0.0,Normal,Control
46.0,0.0,Normal,Control
47.0,0.0,Normal,Control
48.0,0.0,Normal,Control
49.0,0.0,Normal,Control
50.0,0.0,Normal,Control
51.0,0.0,Normal,Control
52.0,0.0,Normal,Control
53.0,0.0,Normal,Control
54.0,0.0,Normal,Control
55.0,0.0,Normal,Control
56.0,0.0,Normal,Control
57.0,0.0,Normal,Control
58.0,0.0,Normal,Control
59.0,0.0,Normal,Control
60.0,0.0,Normal,Control
61.0,0.0,Normal,Control
62.0,0.0,Normal,Control
63.0,0.0,Normal,Control
64.0,0.0,Normal,Control
65.0,0.0,Normal,Control
66.0,0.0,Normal,Control
67.0,0.0,Normal,Control
68.0,0.0,Normal,Control
69.0,0.0,Normal,Control
70.0,0.0,Normal,Control
71.0,0.0,Normal,Control
72.0,0.0,Normal,Control
73.0,0.0,Normal,Control
74.0,0.0,Normal,Control
75.0,0.0,Normal,Control
76.0,0.0,Normal,Control
77.0,0.0,Normal,Control
78.0,0.0,Normal,Control
79.0,0.0,Normal,Control
80.0,0.0,Normal,Control
81.0,0.0,Normal,Control
82.0,0.0,Normal,Control
83.0,0.0,Normal,Control
84.0,0.0,Normal,Control
85.0,0.0,Normal,Control
86.0,0.0,Normal,Control
87.0,0.0,Normal,Control
88.0,0.0,Normal,Control
89.0,0.0,Normal,Control
90.0,0.0,Normal,Control
91.0,0.0,Normal,Control
92.0,0.0,Normal,Control
93.0,0.0,Normal,Control
94.0,0.0,Normal,Control
95.0,0.0,Normal,Control
96.0,0.0,Normal,Control
97.0,0.0,Normal,Control
98.0,0.0,Normal,Control
99.0,0.0,Normal,Control
100.0,0.0,Normal,Control
0.0,0.0,Normal,Normal
1.0,0.0,Normal,Normal
2.0,0.0,Normal,Normal
3.0,0.0,Normal,Normal
4.0,0.0,Normal,Normal
5.0,0.0,Normal,Normal
6.0,0.0,Normal,Normal
7.0,0.0,Normal,Normal
8.0,0.0,Normal,Normal
9.0,0.0,Normal,Normal
10.0,0.0,Normal,Normal
11.0,0.0,Normal,Normal
12.0,0.0,Normal,Normal
13.0,0.0,Normal,Normal
14.0,0.0,Normal,Normal
15.0,0.0,Normal,Normal
16.0,0.0,Normal,Normal
17.0,0.0,Normal,Normal
18.0,0.0,Normal,Normal
19.0,0.0,Normal,Normal
20.0,0.0,Normal,Normal
21.0,0.0,Normal,Normal
22.0,0.0,Normal,Normal
23.0,0.0,Normal,Normal
24.0,0.0,Normal,Normal
25.0,0.0,Normal,Normal
26.0,0.0,Normal,Normal
27.0,0.0,Normal,Normal
28.0,0.0,Normal,Normal
29.0,0.0,Normal,Normal
30.0,0.0,Normal,Normal
31.0,0.0,Normal,Normal
32.0,0.0,Normal,Normal
33.0,0.0,Normal,Normal
34.0,0.0,Normal,Normal
35.0,0.0,Normal,Normal
36.0,0.0,Normal,Normal
37.0,0.0,Normal,Normal
38.0,0.0,Normal,Normal
39.0,0.0,Normal,Normal
40.0,0.0,Normal,Normal
41.0,0.0,Normal,Normal
42.0,0.0,Normal,Normal
43.0,0.0,Normal,Normal
44.0,0.0,Normal,Normal
45.0,0.0,Normal,Normal
46.0,0.0,Normal,Normal
47.0,0.0,Normal,Normal
48.0,0.0,Normal,Normal
49.0,0.0,Normal,Normal
50.0,0.0,Normal,Normal
51.0,0.0,Normal,Normal
52.0,0.0,Normal,Normal
53.0,0.0,Normal,Normal
54.0,0.0,Normal,Normal
55.0,0.0,Normal,Normal
56.0,0.0,Normal,Normal
57.0,0.0,Normal,Normal
58.0,0.0,Normal,Normal
59.0,0.0,Normal,Normal
60.0,0.0,Normal,Normal
61.0,0.0,Normal,Normal
62.0,0.0,Normal,Normal
63.0,0.0,Normal,Normal
64.0,0.0,Normal,Normal
65.0,0.0,Normal,Normal
66.0,0.0,Normal,Normal
67.0,0.0,Normal,Normal
68.0,0.0,Normal,Normal
69.0,0.0,Normal,Normal
70.0,0.0,Normal,Normal
71.0,0.0,Normal,Normal
72.0,0.0,Normal,Normal
73.0,0.0,Normal,Normal
74.0,0.0,Normal,Normal
75.0,0.0,Normal,Normal
76.0,0.0,Normal,Normal
77.0,0.0,Normal,Normal
78.0,0.0,Normal,Normal
79.0,0.0,Normal,Normal
80.0,0.0,Normal,Normal
81.0,0.0,Normal,Normal
82.0,0.0,Normal,Normal
83.0,0.0,Normal,Normal
84.0,0.0,Normal,Normal
85.0,0.0,Normal,Normal
86.0,0.0,Normal,Normal
87.0,0.0,Normal,Normal
88.0,0.0,Normal,Normal
89.0,0.0,Normal,Normal
90.0,0.0,Normal,Normal
91.0,0.0,Normal,Normal
92.0,0.0,Normal,Normal
93.0,0.0,Normal,Normal
94.0,0.0,Normal,Normal
95.0,0.0,Normal,Normal
96.0,0.0,Normal,Normal
97.0,0.0,Normal,Normal
98.0,0.0,Normal,Normal
99.0,0.0,Normal,Normal
100.0,0.0,Normal,Normal
0.0,0.1,Normal,Control
1.0,0.1,Normal,Control
2.0,0.1,Normal,Control
3.0,0.1,Normal,Control
4.0,0.1,Normal,Control
5.0,0.1,Normal,Control
6.0,0.1,Normal,Control
7.0,0.1,Normal,Control
8.0,0.1,Normal,Control
9.0,0.1,Normal,Control
10.0,0.1,Normal,Control
11.0,0.1,Normal,Control
12.0,0.1,Normal,Control
13.0,0.1,Normal,Control
14.0,0.1,Normal,Control
15.0,0.1,Normal,Control
16.0,0.1,Normal,Control
17.0,0.1,Normal,Control
18.0,0.1,Normal,Control
19.0,0.1,Normal,Control
20.0,0.1,Normal,Control
21.0,0.1,Normal,Control
22.0,0.1,Normal,Control
23.0,0.1,Normal,Control
24.0,0.1,Normal,Control
25.0,0.1,Normal,Control
26.0,0.1,Normal,Control
27.0,0.1,Normal,Control
28.0,0.1,Normal,Control
29.0,0.1,Normal,Control
30.0,0.1,Normal,Control
31.0,0.1,Normal,Control
32.0,0.1,Normal,Control
33.0,0.1,Normal,Control
34.0,0.1,Normal,Control
35.0,0.1,Normal,Control
36.0,0.1,Normal,Control
37.0,0.1,Normal,Control
38.0,0.1,Normal,Control
39.0,0.1,Normal,Control
40.0,0.1,Normal,Control
41.0,0.1,Normal,Control
42.0,0.1,Normal,Control
43.0,0.1,Normal,Control
44.0,0.1,Normal,Control
45.0,0.1,Normal,Control
46.0,0.1,Normal,Control
47.0,0.1,Normal,Control
48.0,0.1,Normal,Control
49.0,0.1,Normal,Control
50.0,0.1,Normal,Control
51.0,0.1,Normal,Control
52.0,0.1,Normal,Control
53.0,0.1,Normal,Control
54.0,0.1,Normal,Control
55.0,0.1,Normal,Control
56.0,0.1,Normal,Control
57.0,0.1,Normal,Control
58.0,0.1,Normal,Control
59.0,0.1,Normal,Control
60.0,0.1,Normal,Control
61.0,0.1,Normal,Control
62.0,0.1,Normal,Control
63.0,0.1,Normal,Control
64.0,0.1,Normal,Control
65.0,0.1,Normal,Control
66.0,0.1,Normal,Control
67.0,0.1,Normal,Control
68.0,0.1,Normal,Control
69.0,0.1,Normal,Control
70.0,0.1,Normal,Control
71.0,0.1,Normal,Control
72.0,0.1,Normal,Control
73.0,0.1,Normal,Control
74.0,0.1,Normal,Control
75.0,0.1,Normal,Control
76.0,0.1,Normal,Control
77.0,0.1,Normal,Control
78.0,0.1,Normal,Control
79.0,0.1,Normal,Control
80.0,0.1,Normal,Control
81.0,0.1,Normal,Control
82.0,0.1,Normal,Control
83.0,0.1,Normal,Control
84.0,0.1,Normal,Control
85.0,0.1,Normal,Control
86.0,0.1,Normal,Control
87.0,0.1,Normal,Control
88.0,0.1,Normal,Control
89.0,0.1,Normal,Control
90.0,0.1,Normal,Control
91.0,0.1,Normal,Control
92.0,0.1,Normal,Control
93.0,0.1,Normal,Control
94.0,0.1,Normal,Control
95.0,0.1,Normal,Control
96.0,0.1,Normal,Control
97.0,0.1,Normal,Control
98.0,0.1,Normal,Control
99.0,0.1,Normal,Control
100.0,0.1,Normal,Control
0.0,0.1,Normal,Normal
1.0,0.1,Normal,Normal
2.0,0.1,Normal,Normal
3.0,0.1,Normal,Normal
4.0,0.1,Normal,Normal
5.0,0.1,Normal,Normal
6.0,0.1,Normal,Normal
7.0,0.1,Normal,Normal
8.0,0.1,Normal,Normal
9.0,0.1,Normal,Normal
10.0,0.1,Normal,Normal
11.0,0.1,Normal,Normal
12.0,0.1,Normal,Normal
13.0,0.1,Normal,Normal
14.0,0.1,Normal,Normal
15.0,0.1,Normal,Normal
16.0,0.1,Normal,Normal
17.0,0.1,Normal,Normal
18.0,0.1,Normal,Normal
19.0,0.1,Normal,Normal
20.0,0.1,Normal,Normal
21.0,0.1,Normal,Normal
22.0,0.1,Normal,Normal
23.0,0.1,Normal,Normal
24.0,0.1,Normal,Normal
25.0,0.1,Normal,Normal
26.0,0.1,Normal,Normal
27.0,0.1,Normal,Normal
28.0,0.1,Normal,Normal
29.0,0.1,Normal,Normal
30.0,0.1,Normal,Normal
31.0,0.1,Normal,Normal
32.0,0.1,Normal,Normal
33.0,0.1,Normal,Normal
34.0,0.1,Normal,Normal
35.0,0.1,Normal,Normal
36.0,0.1,Normal,Normal
37.0,0.1,Normal,Normal
38.0,0.1,Normal,Normal
39.0,0.1,Normal,Normal
40.0,0.1,Normal,Normal
41.0,0.1,Normal,Normal
42.0,0.1,Normal,Normal
43.0,0.1,Normal,Normal
44.0,0.1,Normal,Normal
45.0,0.1,Normal,Normal
46.0,0.1,Normal,Normal
47.0,0.1,Normal,Normal
48.0,0.1,Normal,Normal
49.0,0.1,Normal,Normal
50.0,0.1,Normal,Normal
51.0,0.1,Normal,Normal
52.0,0.1,Normal,Normal
53.0,0.1,Normal,Normal
54.0,0.1,Normal,Normal
55.0,0.1,Normal,Normal
56.0,0.1,Normal,Normal
57.0,0.1,Normal,Normal
58.0,0.1,Normal,Normal
59.0,0.1,Normal,Normal
60.0,0.1,Normal,Normal
61.0,0.1,Normal,Normal
62.0,0.1,Normal,Normal
63.0,0.1,Normal,Normal
64.0,0.1,Normal,Normal
65.0,0.1,Normal,Normal
66.0,0.1,Normal,Normal
67.0,0.1,Normal,Normal
68.0,0.1,Normal,Normal
69.0,0.1,Normal,Normal
70.0,0.1,Normal,Normal
71.0,0.1,Normal,Normal
72.0,0.1,Normal,Normal
73.0,0.1,Normal,Normal
74.0,0.1,Normal,Normal
75.0,0.1,Normal,Normal
76.0,0.1,Normal,Normal
77.0,0.1,Normal,Normal
78.0,0.1,Normal,Normal
79.0,0.1,Normal,Normal
80.0,0.1,Normal,Normal
81.0,0.1,Normal,Normal
82.0,0.1,Normal,Normal
83.0,0.1,Normal,Normal
84.0,0.1,Normal,Normal
85.0,0.1,Normal,Normal
86.0,0.1,Normal,Normal
87.0,0.1,Normal,Normal
88.0,0.1,Normal,Normal
89.0,0.1,Normal,Normal
90.0,0.1,Normal,Normal
91.0,0.1,Normal,Normal
92.0,0.1,Normal,Normal
93.0,0.1,Normal,Normal
94.0,0.1,Normal,Normal
95.0,0.1,Normal,Normal
96.0,0.1,Normal,Normal
97.0,0.1,Normal,Normal
98.0,0.1,Normal,Normal
99.0,0.1,Normal,Normal
100.0,0.1,Normal,Normal
0.0,0.2,Normal,Control
