experiment_id	id
Chromosome	xy01_1_10.008-34.000
Chromosome	xy01_1_10.008-34.015
Chromosome	xy01_1_11.006-20.024
Chromosome	xy01_1_11.006-26.003
Chromosome	xy01_10_10.024-27.026
Chromosome	xy01_10_10.024-31.033
Chromosome	xy01_10_15.019-22.021
Chromosome	xy01_11_10.011-26.006
Chromosome	xy01_11_10.011-28.013
Chromosome	xy01_11_10.011-34.012
Chromosome	xy01_12_10.014-26.022
Chromosome	xy01_13_10.005-25.002
Chromosome	xy01_14_10.007-34.026
Chromosome	xy01_14_15.008-30.002
Chromosome	xy01_2_10.002-27.017
Chromosome	xy01_2_10.002-30.034
Chromosome	xy01_2_10.002-34.001
Chromosome	xy01_2_11.005-17.001
Chromosome	xy01_2_11.005-34.037
Chromosome	xy01_25_11.017-29.034
Chromosome	xy01_27_10.026-34.041
Chromosome	xy01_29_10.020-20.022
Chromosome	xy01_3_10.000-34.004
Chromosome	xy01_3_10.000-34.014
Chromosome	xy01_4_10.015-34.010
Chromosome	xy01_4_10.015-34.047
Chromosome	xy01_4_12.016-22.015
Chromosome	xy01_4_15.008-30.002
Chromosome	xy01_5_10.003-33.011
Chromosome	xy01_5_10.003-34.014
Chromosome	xy01_5_10.003-34.020
Chromosome	xy01_6_10.021-25.018
Chromosome	xy01_6_10.021-34.020
Chromosome	xy01_6_10.021-34.034
Chromosome	xy01_6_15.017-26.019
Chromosome	xy01_7_10.022-34.041
Chromosome	xy01_8_10.018-33.045
Chromosome	xy01_8_12.019-20.019
Chromosome	xy01_8_12.019-25.014
Chromosome	xy01_9_10.025-29.034
Chromosome	xy04_1_10.084-34.000
Chromosome	xy04_1_15.057-32.028
Chromosome	xy04_10_10.142-34.028
Chromosome	xy04_100_10.292-21.164
Chromosome	xy04_101_10.035-20.001
Chromosome	xy04_101_12.029-17.010
Chromosome	xy04_102_10.043-20.020
Chromosome	xy04_103_10.062-20.033
Chromosome	xy04_103_12.068-18.056
Chromosome	xy04_104_10.104-20.047
Chromosome	xy04_104_13.116-20.063
Chromosome	xy04_105_10.128-20.058
Chromosome	xy04_106_10.143-20.067
Chromosome	xy04_106_12.145-20.079
Chromosome	xy04_107_10.169-20.072
Chromosome	xy04_107_15.158-17.133
Chromosome	xy04_108_10.145-20.075
Chromosome	xy04_109_10.287-20.137
Chromosome	xy04_109_12.269-19.200
Chromosome	xy04_11_10.168-34.030
Chromosome	xy04_110_10.235-20.173
Chromosome	xy04_111_10.288-20.184
Chromosome	xy04_111_13.327-18.240
Chromosome	xy04_112_10.271-20.192
Chromosome	xy04_113_10.009-19.002
Chromosome	xy04_114_10.078-19.008
Chromosome	xy04_115_10.043-19.024
Chromosome	xy04_115_15.048-19.031
Chromosome	xy04_116_10.081-19.026
Chromosome	xy04_117_10.040-19.029
Chromosome	xy04_118_10.118-19.047
Chromosome	xy04_119_10.087-19.049
Chromosome	xy04_12_10.147-34.032
Chromosome	xy04_120_10.146-19.071
Chromosome	xy04_121_10.201-19.148
Chromosome	xy04_122_10.243-19.149
Chromosome	xy04_123_10.190-19.161
Chromosome	xy04_123_13.242-19.166
Chromosome	xy04_124_10.194-19.165
Chromosome	xy04_125_10.230-19.168
Chromosome	xy04_126_10.262-19.180
Chromosome	xy04_126_14.269-17.239
Chromosome	xy04_127_10.227-19.189
Chromosome	xy04_128_10.251-19.195
Chromosome	xy04_129_10.285-19.213
Chromosome	xy04_13_10.122-34.037
Chromosome	xy04_130_10.060-18.006
Chromosome	xy04_131_10.018-18.009
Chromosome	xy04_131_11.016-18.016
Chromosome	xy04_132_10.066-18.033
Chromosome	xy04_133_10.127-18.051
Chromosome	xy04_134_10.168-18.101
Chromosome	xy04_135_10.169-18.106
Chromosome	xy04_136_10.170-18.107
Chromosome	xy04_136_13.184-17.135
Chromosome	xy04_136_15.152-17.142
Chromosome	xy04_137_10.162-18.114
Chromosome	xy04_138_10.185-18.139
Chromosome	xy04_138_15.192-17.171
Chromosome	xy04_139_10.251-18.207
Chromosome	xy04_14_10.148-34.041
Chromosome	xy04_140_10.221-18.210
Chromosome	xy04_141_10.252-18.223
Chromosome	xy04_142_10.295-18.224
Chromosome	xy04_142_11.295-18.243
Chromosome	xy04_143_10.298-18.235
Chromosome	xy04_144_10.015-17.002
Chromosome	xy04_145_10.033-17.003
Chromosome	xy04_146_10.022-17.005
Chromosome	xy04_147_10.012-17.014
Chromosome	xy04_148_10.047-17.025
Chromosome	xy04_148_13.028-17.038
Chromosome	xy04_149_10.089-17.030
Chromosome	xy04_15_10.158-34.044
Chromosome	xy04_150_10.069-17.048
Chromosome	xy04_150_12.067-17.056
Chromosome	xy04_150_14.071-17.078
Chromosome	xy04_151_10.046-17.060
Chromosome	xy04_152_10.212-17.198
Chromosome	xy04_153_10.198-17.209
Chromosome	xy04_154_10.228-17.220
Chromosome	xy04_155_10.249-17.222
Chromosome	xy04_156_10.286-17.233
Chromosome	xy04_157_10.253-17.237
Chromosome	xy04_158_10.268-17.245
Chromosome	xy04_159_10.287-17.252
Chromosome	xy04_16_10.166-34.056
Chromosome	xy04_160_10.278-17.257
Chromosome	xy04_161_10.303-17.266
Chromosome	xy04_17_10.050-34.065
Chromosome	xy04_18_10.189-34.069
Chromosome	xy04_19_10.159-34.071
Chromosome	xy04_2_10.127-34.001
Chromosome	xy04_2_12.139-18.094
Chromosome	xy04_20_10.169-34.073
Chromosome	xy04_20_14.175-34.079
Chromosome	xy04_21_10.180-34.075
Chromosome	xy04_21_15.178-20.090
Chromosome	xy04_21_15.178-34.118
Chromosome	xy04_22_10.152-34.086
Chromosome	xy04_23_10.124-34.090
Chromosome	xy04_24_10.131-34.093
Chromosome	xy04_24_15.121-17.117
Chromosome	xy04_25_10.164-34.095
Chromosome	xy04_26_10.217-34.105
Chromosome	xy04_26_11.200-21.088
Chromosome	xy04_27_10.174-34.112
Chromosome	xy04_27_11.164-17.159
Chromosome	xy04_28_10.197-34.117
Chromosome	xy04_29_10.187-34.124
Chromosome	xy04_29_13.202-34.151
Chromosome	xy04_3_10.145-34.002
Chromosome	xy04_30_10.193-34.134
Chromosome	xy04_30_12.197-24.115
Chromosome	xy04_30_14.190-18.154
Chromosome	xy04_31_10.173-34.135
Chromosome	xy04_32_10.151-34.143
Chromosome	xy04_32_11.134-20.061
Chromosome	xy04_33_10.179-34.146
